"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+00ce",158,166,"LATIN CAPITAL LETTER I WITH CIRCUMFLEX",,,"Î","I","U+0049"
"U+00cf",158,168,"LATIN CAPITAL LETTER I WITH DIAERESIS",,,"Ï","I","U+0049"
"U+00d0",106,110,"LATIN CAPITAL LETTER ETH",,,"Ð","D","U+0044"
"U+00d1",203,208,"LATIN CAPITAL LETTER N WITH TILDE",,,"Ñ","N","U+004E"
"U+00d2",215,222,"LATIN CAPITAL LETTER O WITH GRAVE",,,"Ò","O","U+004F"
"U+00d3",215,224,"LATIN CAPITAL LETTER O WITH ACUTE",,,"Ó","O","U+004F"
"U+00d4",215,226,"LATIN CAPITAL LETTER O WITH CIRCUMFLEX",,,"Ô","O","U+004F"
"U+00d5",215,228,"LATIN CAPITAL LETTER O WITH TILDE",,,"Õ","O","U+004F"
"U+00d6",215,230,"LATIN CAPITAL LETTER O WITH DIAERESIS",,,"Ö","O","U+004F"
"U+00d7",445,445,"MULTIPLICATION SIGN",,,"×","×","U+00d7"
"U+00d8",215,232,"LATIN CAPITAL LETTER O WITH STROKE",,,"Ø","O","U+004F"
"U+00d9",281,286,"LATIN CAPITAL LETTER U WITH GRAVE",,,"Ù","U","U+0055"
"U+00da",281,288,"LATIN CAPITAL LETTER U WITH ACUTE",,,"Ú","U","U+0055"
"U+00db",281,290,"LATIN CAPITAL LETTER U WITH CIRCUMFLEX",,,"Û","U","U+0055"
"U+00dc",281,292,"LATIN CAPITAL LETTER U WITH DIAERESIS",,,"Ü","U","U+0055"
"U+00dd",324,328,"LATIN CAPITAL LETTER Y WITH ACUTE",,,"Ý","Y","U+0059"
"U+00df",259,270,"LATIN SMALL LETTER SHARP S",,,"ß","S","U+0053"
"U+00e0",64,71,"LATIN SMALL LETTER A WITH GRAVE",,,"à","A","U+0041"
"U+00e1",64,73,"LATIN SMALL LETTER A WITH ACUTE",,,"á","A","U+0041"
"U+00e2",64,75,"LATIN SMALL LETTER A WITH CIRCUMFLEX",,,"â","A","U+0041"
"U+00e3",64,77,"LATIN SMALL LETTER A WITH TILDE",,,"ã","A","U+0041"
